Have a Nice Day10,WiFire1,CLBW-Mobitel-HUAWEI-CC008,UoM_Wireless11,No_of_P
-38,-57,-58,-100,5
-50,-38,-63,-81,1
-53,-39,-65,-100,1
-53,-51,-61,-90,0
-60,-50,-71,-81,1
-39,-62,-60,-100,5
-56,-52,-57,-100,0
-52,-53,-59,-100,0
-50,-52,-60,-92,1
-50,-61,-66,-100,5
-62,-39,-72,-90,1
-58,-58,-66,-100,5
-59,-60,-67,-100,5
-53,-58,-66,-100,5
-62,-40,-75,-81,1
-53,-51,-60,-88,0
-44,-52,-63,-100,0
-59,-59,-58,-100,5
-51,-51,-56,-88,0
-49,-58,-65,-100,5
-50,-58,-56,-100,5
-39,-60,-62,-100,5
-40,-62,-59,-100,5
-39,-61,-65,-100,5
-61,-40,-65,-100,1
-53,-54,-56,-100,0
-53,-53,-60,-100,0
-55,-38,-69,-100,1
-56,-58,-65,-100,5
-52,-52,-56,-100,0
-53,-59,-56,-100,5
-62,-39,-68,-82,1
-51,-52,-61,-92,0
-58,-58,-65,-100,5
-43,-53,-58,-100,1
-42,-54,-58,-100,1
-54,-55,-55,-78,0
-42,-54,-54,-100,1
-57,-60,-59,-100,5
-41,-54,-60,-100,1
-60,-40,-64,-100,1
-53,-55,-59,-86,1
-53,-52,-63,-100,0
-55,-38,-69,-82,1
-55,-51,-64,-100,0
-40,-60,-55,-93,5
-56,-52,-60,-100,0
-39,-59,-56,-100,5
-52,-52,-62,-100,0
-52,-59,-57,-100,5
-45,-53,-58,-100,0
-39,-57,-55,-100,5
-44,-54,-60,-100,1
-42,-52,-63,-92,1
-50,-50,-56,-89,0
-40,-58,-66,-100,5
-54,-54,-57,-100,0
-61,-39,-72,-80,1
-59,-39,-70,-80,1
-66,-41,-72,-84,1
-41,-61,-58,-100,5
-51,-52,-56,-100,1
-53,-58,-69,-100,5
-61,-40,-68,-100,1
-39,-60,-60,-100,5
-56,-52,-71,-83,1
-52,-53,-55,-77,0
-52,-53,-57,-77,0
-42,-50,-58,-100,0
-39,-58,-57,-100,5
-43,-54,-59,-88,1
-62,-39,-69,-80,1
-38,-61,-59,-100,5
-49,-59,-66,-100,5
-55,-59,-73,-100,5
-53,-56,-63,-100,1
-62,-41,-68,-100,1
-61,-60,-61,-100,5
-51,-40,-62,-100,1
-41,-60,-57,-100,5
-44,-54,-63,-100,0
-39,-59,-59,-100,5
-56,-55,-58,-100,0
-51,-53,-57,-100,0
-39,-59,-65,-100,5
-40,-58,-62,-100,5
-55,-54,-55,-79,0
-50,-52,-61,-100,1
-54,-39,-68,-81,1
-44,-52,-60,-92,0
-54,-55,-55,-100,0
-48,-58,-59,-100,5
-52,-59,-66,-100,5
-54,-53,-55,-100,0
-60,-40,-68,-81,1
-38,-58,-66,-100,5
-58,-48,-64,-100,1
-53,-53,-58,-100,0
-61,-49,-59,-81,1
-61,-48,-71,-100,1
-56,-58,-58,-100,5
-50,-60,-67,-100,5
-42,-54,-54,-100,1
-51,-53,-57,-100,1
-52,-52,-57,-100,0
-53,-53,-56,-100,1
-52,-51,-56,-90,0
-51,-51,-65,-88,0
-54,-59,-68,-100,5
-53,-54,-58,-100,0
-52,-51,-59,-100,0
-38,-61,-65,-100,5
